match,match_ID,teamInnings,battingPos,batsmanName,Out/Not Out,runs,balls,4s,6s,SR
Zimbabwe VS West Indies,Test # 2489,Innings 2,6,Tafadzwa Tsiga †,Out,2,6,0,0,33.33
Zimbabwe VS West Indies,Test # 2489,Innings 2,7,Brad Evans ,Out,7,9,1,0,77.77
Zimbabwe VS West Indies,Test # 2489,Innings 2,8,Wellington Masakadza ,Out,15,76,1,0,19.73
Zimbabwe VS West Indies,Test # 2489,Innings 2,9,Brandon Mavuta ,Out,56,132,9,0,42.42
Zimbabwe VS West Indies,Test # 2489,Innings 2,10,Victor Nyauchi ,Out,13,10,3,0,130.00
Zimbabwe VS West Indies,Test # 2489,Innings 2,11,Richard Ngarava ,Not Out,19,20,1,1,95.00
India VS Australia,Test # 2490,Innings 1,1,David Warner ,Out,1,5,0,0,20.00
India VS Australia,Test # 2490,Innings 1,2,Usman Khawaja ,Out,1,3,0,0,33.33
India VS Australia,Test # 2490,Innings 1,3,Marnus Labuschagne ,Out,49,123,8,0,39.83
India VS Australia,Test # 2490,Innings 1,4,Steven Smith ,Out,37,107,7,0,34.57
India VS Australia,Test # 2490,Innings 1,5,Matt Renshaw ,Out,0,1,0,0,0.00
India VS Australia,Test # 2490,Innings 1,6,Peter Handscomb ,Out,31,84,4,0,36.90
India VS Australia,Test # 2490,Innings 1,7,Alex Carey †,Out,36,33,7,0,109.09
India VS Australia,Test # 2490,Innings 1,8,Pat Cummins (c),Out,6,14,1,0,42.85
India VS Australia,Test # 2490,Innings 1,9,Todd Murphy ,Out,0,5,0,0,0.00
India VS Australia,Test # 2490,Innings 1,10,Nathan Lyon ,Not Out,0,3,0,0,0.00
India VS Australia,Test # 2490,Innings 1,11,Scott Boland ,Out,1,8,0,0,12.50
India VS Australia,Test # 2490,Innings 2,1,Rohit Sharma (c),Out,120,212,15,2,56.60
India VS Australia,Test # 2490,Innings 2,2,KL Rahul ,Out,20,71,1,0,28.16
India VS Australia,Test # 2490,Innings 2,3,Ravichandran Ashwin ,Out,23,62,2,1,37.09
India VS Australia,Test # 2490,Innings 2,4,Cheteshwar Pujara ,Out,7,14,1,0,50.00
India VS Australia,Test # 2490,Innings 2,5,Virat Kohli ,Out,12,26,2,0,46.15
India VS Australia,Test # 2490,Innings 2,6,Suryakumar Yadav ,Out,8,20,1,0,40.00
India VS Australia,Test # 2490,Innings 2,7,Ravindra Jadeja ,Out,70,185,9,0,37.83
India VS Australia,Test # 2490,Innings 2,8,Srikar Bharat †,Out,8,10,1,0,80.00
India VS Australia,Test # 2490,Innings 2,9,Axar Patel ,Out,84,174,10,1,48.27
India VS Australia,Test # 2490,Innings 2,10,Mohammed Shami ,Out,37,47,2,3,78.72
India VS Australia,Test # 2490,Innings 2,11,Mohammed Siraj ,Not Out,1,19,0,0,5.26
Zimbabwe VS West Indies,Test # 2491,Innings 1,1,Tanunurwa Makoni ,Out,0,24,0,0,0.00
Zimbabwe VS West Indies,Test # 2491,Innings 1,2,Innocent Kaia ,Out,38,52,5,0,73.07
Zimbabwe VS West Indies,Test # 2491,Innings 1,3,Chamu Chibhabha ,Out,10,20,2,0,50.00
Zimbabwe VS West Indies,Test # 2491,Innings 1,4,Craig Ervine (c),Out,22,36,3,0,61.11
Zimbabwe VS West Indies,Test # 2491,Innings 1,5,Milton Shumba ,Out,3,8,0,0,37.50
Zimbabwe VS West Indies,Test # 2491,Innings 1,6,Tafadzwa Tsiga †,Out,0,11,0,0,0.00
Zimbabwe VS West Indies,Test # 2491,Innings 1,7,Donald Tiripano ,Not Out,23,56,3,0,41.07
Zimbabwe VS West Indies,Test # 2491,Innings 1,8,Wellington Masakadza ,Out,1,6,0,0,16.66
Zimbabwe VS West Indies,Test # 2491,Innings 1,9,Brandon Mavuta ,Out,1,13,0,0,7.69
Zimbabwe VS West Indies,Test # 2491,Innings 1,10,Victor Nyauchi ,Out,2,8,0,0,25.00
Zimbabwe VS West Indies,Test # 2491,Innings 1,11,Tanaka Chivanga ,Out,6,11,0,1,54.54
Zimbabwe VS West Indies,Test # 2491,Innings 2,1,Kraigg Brathwaite (c),Out,7,27,1,0,25.92
Zimbabwe VS West Indies,Test # 2491,Innings 2,2,Tagenarine Chanderpaul ,Out,36,77,4,0,46.75
Zimbabwe VS West Indies,Test # 2491,Innings 2,3,Raymon Reifer ,Out,53,86,4,1,61.62
