match,match_ID,teamInnings,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
Zimbabwe VS West Indies,Test # 2489,Innings 1,Victor Nyauchi,27,6,73,0,2.70,126,8,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 1,Brad Evans,24,3,74,0,3.08,100,5,0,1,2
Zimbabwe VS West Indies,Test # 2489,Innings 1,Wellington Masakadza,31,8,85,1,2.74,137,3,4,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 1,Brandon Mavuta,41,5,140,5,3.41,161,11,2,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,Kemar Roach,15,4,35,1,2.33,74,4,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,Alzarri Joseph,26,2,75,3,2.88,116,9,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,Kyle Mayers,10,4,22,0,2.20,50,3,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,Gudakesh Motie,33,10,110,2,3.33,149,13,3,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,Jason Holder,17,2,55,2,3.23,75,6,0,0,1
Zimbabwe VS West Indies,Test # 2489,Innings 2,Roston Chase,14,1,45,0,3.21,60,5,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,Kraigg Brathwaite,5,1,12,1,2.40,22,1,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,Raymon Reifer,3,0,7,0,2.33,13,0,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,Jermaine Blackwood,2,0,11,0,5.50,7,2,0,0,0
India VS Australia,Test # 2490,Innings 1,Mohammed Shami,9,4,18,1,2.00,46,3,0,0,0
India VS Australia,Test # 2490,Innings 1,Mohammed Siraj,7,3,30,1,4.28,33,7,0,0,0
India VS Australia,Test # 2490,Innings 1,Ravindra Jadeja,22,8,47,5,2.13,113,7,0,0,3
India VS Australia,Test # 2490,Innings 1,Axar Patel,10,3,28,0,2.80,50,6,0,0,0
India VS Australia,Test # 2490,Innings 1,Ravichandran Ashwin,15.5,2,42,3,2.65,70,4,0,0,0
India VS Australia,Test # 2490,Innings 2,Pat Cummins,20.3,3,78,2,3.80,88,11,1,0,1
India VS Australia,Test # 2490,Innings 2,Scott Boland,17,4,34,0,2.00,81,3,0,0,1
India VS Australia,Test # 2490,Innings 2,Nathan Lyon,49,13,126,1,2.57,227,13,2,0,0
India VS Australia,Test # 2490,Innings 2,Todd Murphy,47,12,124,7,2.63,223,13,4,0,1
India VS Australia,Test # 2490,Innings 2,Marnus Labuschagne,5,0,24,0,4.80,16,3,0,0,0
India VS Australia,Test # 2490,Innings 2,Matt Renshaw,1,0,7,0,7.00,2,1,0,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,Alzarri Joseph,9,1,29,1,3.22,40,4,0,1,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,Shannon Gabriel,8,2,19,0,2.37,38,2,0,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,Jason Holder,7,2,18,2,2.57,34,3,0,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,Gudakesh Motie,14.5,4,37,7,2.49,71,4,1,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,Roston Chase,2,0,4,0,2.00,9,0,0,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 2,Victor Nyauchi,17.3,1,56,5,3.20,76,6,0,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 2,Wellington Masakadza,20,5,58,1,2.90,88,4,2,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 2,Tanaka Chivanga,14,0,59,0,4.21,59,8,0,1,5
